tweet,sarcastic,rephrase,dialect
في ناس بتاكل فاصوليا بالعيش الكيزر الله يرحم,1,ناس فقيرة بقه معاها فلوس  وبقت محدثة نعم ,nile
روح العب مع الاسد اللي هناك دا,1,بطل هري وكلام تافه,nile
حتى المثل اتقلب دلوقتى ل امشى عدل يحتار عدوك و صديقك فيك,1,محدش بيحب الخير لحد,nile
[ عندك سلـف ] : سؤال يثير الرعب في المجتمع ويؤدي الى قطع الأرحام والتفكك الاسري =)),1,لا أحد يريد أن يسلف أمواله لغيره ومستعد لقطع رحمه ولا يعطى أمواله لأحد,msa
من كتر فلوسك تسلف بنك,1,بتتكلم وكأنك معاك فلوس كتير وأنت معدوم,nile
فلان مقطع حصر الجامع,1,فلان لا يفارق المسجد,levant
داخل علمي رياضة وفاكر نفسه فيثاغورث,1,داخل علمي رياضة وهو غبي,nile
كل يوم يعددي يثبت ان اسرائيل دي بلد شوربة واخدة قوتها فالإعلام وبس,1,اسرئيل مجرد فقاعة يتداولها الأعلام,nile
يا نهار ابيض ايه التور ده..محدش يلعب جنبه,1,ده لاعب قوى,nile
الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1,يعنى الجواز كله مشاكل ماحدش بياخد عبره من الناس اللى قبله,nile
اي حاجة باصي لميسي,1,روح لحد بيفهم,nile
الاسعار نار .. الله ينور يا سيسي,1,الاسعار غالية جدا منك لله يا سيسي يا فاشل,nile
الزمالك فريق فاشل وعشان مباره فازها شاف نفسه علينا,1,الزمالك فريق  فاشل ومغرور,nile
كلها مسلسلات الخطف ديه كفاية ضحك ع الناس,1,الداخلية تحاول ان تبيض وجهها ببطولات زائفة,nile
شاهد ابو صلاح يحمل عجوز ويعبر بها الشارع الله على اخلاقك يا فخر العرب,1,سخريه من محمد صلاح والصاق امور خياليه به للسخريه ,nile
القوالب نامت والنصاص قامت عجيبه,1,اى ان الناس عديمه القيمه هى الظاهر فى المجتمع,nile
فاكر نفسك نجيب محفوظ دا انت اخرك بتاع لبوس وبتشير علي البلوتوث 😒,1,فاكر نفسك نجيب محفوظ ده أنت مبتفهمش حاجة,nile
فعلا قال علمنى الهيافة قاله تعالى فى الهايفة واتصدر,1,التافه يتصدر في الأمر التافه,nile
ذهب ليشتري حذاء فوجد الناس بدون رجلين ههههههههههههههههههههههههههههههههههههههههه,1,حالته أفضل من حالة الناس رغم فقره فهو أفضل منهم حالا,magreb
شامم ريحه مؤامره,1,اشتباه بوجود مؤامره,nile
هوا أحنا دخلنا النار,1,الجو حر أوى,nile
هل تعلم ان البنت القصيرة ربنا عوضها في لسانها,1,دايما البنات لسانها طويل وخصوصا البنت القصيرة,nile
مرايه الحب عمياء,1,ان المحب لايرى اى عيوب فى من يحب,nile
احنا غلابه بس ساعة الشر بنتغابى,1,احنا ناس طيبة مش بتاعت مشاكل بس وقت لما حد يدوسلنا علي طرف مش بنسيبه,nile
عندما تفقد الاحا قدرتها على التعبير لابد ان ياتي الشخير طوابير,1,لا تكفي صيحات الاحتجاج بل لابد من احتجاج اقوى,nile
ماتش صعب ايه بس ده الفرقه كانت بتقابل نفسها,1,ماتش سهل امام منافس ضعيف,nile
أنت ترجع الغيط !,1,واحد في مكان مش مناسب له,nile
وجهها مثل الركبة و تقول تحرش 😂.,1,هى قبيحة ومحدش هيتحرش بها,gulf
كده كده يا زمالك الدوري في الجزيره 	 عامل فيها بطل وهو بتاع بليله,1,ان الزمالك فريق ضعيف لا يجيد المنافسه,nile
العيش والملح بتاعكوا عملت غسيل معدة ورجعتوا,1,مستغني عن عشرتكو,nile
هاي السنة فش احلى منها 🤯😂,1,هاي السنة مش حلوة,levant
حسيتوا بالزلزال ولا مبقيتوش تحسوا بالحاجات الضغيرة دى,1,حسيتوا بالزلزال ولا لأ,nile
انتا عايش في الالالاند ولا ايه,1,أنت مش فاهم حاجة,nile
لسانك حصانك صنه,1,اللسان هو الذى يحفظ للإنسان كرامتك وما تقوله هو ما يحفظ أو يهدر كرامتك,msa
السعودية : لا أعرفه ، لذا لن أضيفه .المصرية :ايه ده نفس كليتي ، يبقى لازم أقبله ، أنا نقطة ضعفي زملاء الدراسة,1,ان المصريين بيضيفوا ناس كتير على مواقع التواصل,nile
الدنيا عامله زى الراقصة اللى رقصت للناس كلها وجات عندى أنا وتابت,1,الدنيا بتضحك للناس كلها وتيجى عندى أنا واقفة بابها فى وجهى,nile
المانجا النعومي مفيش زيها ابدا,1,المانجا النعومى طعمها وحش أوى,nile
يا خارجة من باب الحمام وكل خد عليه خوخة,1,يا متجوزة وخدك مكسوف,nile
لاتبتسم لطفل في الطائرة إلا إذا كنت تنوي قضاء الرحلة في ملاعبته .,1,الطفل اذا بقيت معاه لازم تلبي رغباته,msa
انتي فاكرة نفسك .ست,1,انتي فاكرة نفسك حلوة,nile
لما تخلص المصالح الحلو يبقى مالح,1,ان لما الخسيس ياخد مصلحته بينسي الحلو وميفتكرلكش حاجة,nile
اللي عاجبه عاجبه واللي ما هو عاجبه ينتف حواجبه,1,ان منبصش لاراء الناس اللي يعجبه افعالك يبقي تمام واللي مش عجبه يبقي يتفلق,nile
ضحكولو تمد على طولو  هههههههههههه,1,تمادى إلى حد مقرف,magreb
علشان حته بطيخ عمل مشكله وصريخ,1,اى ان الموضوع تافه لا يستحق كل هذا الكلام,nile
يا عينى على الحلو لما تبهدله الايام,1,ايه اللى بهدلك كده,nile
واحد قال لمو بغيت نتزوج بوحدة بيضاء وطويلة وخدامة قالت له خد الثلاجة,1,المواصفات لي بغا فالزوجة كينين غير فالتلاجة,magreb
بحب العسل بس النحل بيقرص,1,الوصول للهدف صعب ولكن تحقيقه شئ ممتع,nile
اجمل حاجه للكره المصريه فى ٢٠٢١ ان البدرى انزاح يا ساتر كابوس,1,حسام البدري افشل مدرب لمنتخب مصر,nile
الشعر عنوان جمال المراه وهي جوابها باين من عنوانه,1,شعرها مش حلو,nile
من قير كوكا لا تحدثني عل قاز هذا راه بيت شعري,1,كوكاكولا أفضل مشروب,magreb
روح يا راجل شوفلك حته ناشفة اقعد فيها,1,امشى اقعد بعيد عنا,nile
السبع جاب السبوعة,1,خارج عن ابوك,magreb
دا سايق بسرعة جدا فاكر نفسه طيار,1,سريع جدا,nile
منين ممثله محترمه ومنين ربنا يتوب عليها من التمثيل (المحترم )!!,1,ربنا يتوب على الممثلة دى من التمثيل كان التمثيل ذنب يجب التوبه منة,nile
لما تحفظ اغنيه وتمشى تغنيها فى البيت واهلك بقولك ده لو المنهج مكنش تحفظة كده,1,ياريت تحفظ دروسك زى ما بتحفظ الأغانى كده,nile
بكره هتكون زي شكوش وحمو نمره كلهم بداو كدا وهيتكون عندك لامبرجيني,1,طالما هايف هتنجح,nile
الله عليك يا بلاص المفهوميه,1,انت غبي,nile
اللي على قلبه مراوح ما بشوف هيك ولا هيك,1,البارد مش بيهمه شئ,nile
نجحت ف الثانويه العامه بالزق وعامله فيها دكتوره,1,دي فاشله,msa
اخد ابن عمى واتغطى بكمى,1,أتجوز براجل طيب أعرفه أحسن من راجل غنى وطبعه وحش,nile
أسمع كلامك أصدقك أشوف أمورك أستعجب,1,انك تتحدث ولا تفعل,nile
عامل فيها بطل وهو بتاع بليله,1,غلبان في حاله وعامل فيها شجاع,nile
الناس بتشتري لب ولا اكننا في العيد مش في اعصار,1,الناس بتشتري لب وسوداني وفي وقت المشكله دلوقت,nile
الديك الفصيح فى البيضه بيصيح,1,ان الذكاء بيظهر من الصغر,msa
شابو للي بيتسحر زبادي وبينام,1,شاطر اللى بيتعشا عشا خفيف,nile
ولسا حضرتك ياما تشوف انبهارات,1,فاكر نفسه عالم وهو لسا علي خبره قليله,nile
داااااااااك الزين تقوول مارادونا,1,انتا بشع,magreb
صفر /عشرة كتير لو فريق من درجة ثالثة كان لعب احسن منهم,1,ده فريق فاشل واتهزم هزيمة كبيرة ,nile
البنت اللي تركت حبيبها صار عندها الX .. بقي ناقصها الايفون,1,البنت اللي تركت حبيبها صار عندها حبيب سابق,levant
وانت بقي فيلسوف عصرك؟ ماتنقطنا بسكاتك!,1,انت ولا فاهم حاجة يبقي تسكت احسن,nile
الغاوى بنقط بطاقيته,1,أذا كنت تحب شئ وتغوى قربه عليك دفع ماتملكه وتدخره لتناله,nile
الناس كلها خير 🙃,1,الناس ما فيها خير,levant
كل ما أشوف صورتي في البطاقة أقول مش مهم الجمال المهم الأخلاق,1,شكلى وحش أوى فى البطاقة,nile
محمد رمضان أخذ الدكتوراة الفخرية يالا سخرية القدر,1,محمد رمضان اخد دكتوراة لا يستحقها,msa
زي ما رحتي زي ما جيتي,1,يعني عملك للشىء مثل عدم عمله ولا فائدة منه,nile
هى الفلوس اللى اديتهالك خلصت؟! -على حسب هتدينى غيرها ولا هتتخانق معايا🙂,1,مش هجاوبك على سؤال الفلوس خلصت ولا لأ إلا لما تقولى بتسأل ليه,nile
محمد صلاح لديه خياشيم ويتنفس تحت الماء,1,محمد صلاح شخص خارق,msa
الإسماعيلى بيلعب بالمدربين وعمال النادى,1,الإسماعيلى ماعندوش لعيبة,nile
اكبر خطر يهدد الانسان في هذه الدنيا هو الانسان,1,ان الناس خطر علي بعضهم,nile
لأول مرة الصين ناس ملاح صنعو المرض و اللقاح,1,الصين هوما سبب المرض و مع التالي صنعو اللقاح باش يربحو الدراهم,magreb
والواد ده عبقرينو بجد,1,ذكى جدا,nile
الى يعوزه البيت يحرم على الجامع,1,اى ان جمع الضراب حرام فى حاله الفقر,nile
ظهرت معزاز كبير,1,شاطر في الغمل,magreb
هي اللي فالصوره دي عامله مظاهره عشان تتجوز ياخي من بختنا الأسود,1,بنات لبنان القمرات عندهم عنوسة وعندنا الفتيات يتمنعن,nile
البيت ده طاهر وهيفضل طول عمره طاهر,1,رقاصة بتتكلم ان بيتها طاهر,nile
تعويره الوش مفيهاش معلش,1,عند قصد الضرر لا يوجد سماح,nile
ياعم انت فاكرني جدو اول ما انزل هجيب جون,1,التشبه باللاعيب المصري جدو لانه كل ما ينزل الملعب يحرز هدف,nile
دا انت هزارك عسل,1,انت هزارك بايخ,nile
اعطي الريح لرجليك,1,اهرب عن وجهي,magreb
و جاي علي نفسك و صاحي بدري أوي كده ليه,1,قايم من النوم متأخر جدا,nile
مبقاش عندى خلق اكحلها أنا حاليا يعميها على طول,1,معنديش صبر والا خلق انى تداوى الأمور أنا بقيت بعديها على طول,nile
كوكب اليابان ❤️ حد يجيب مجلس الوزارء يفرجهم ع الموسم ده,1,نظام و دقة دولة اليابان,nile
ماشاء الله عليكوا بتقنعونا كل مدى ان اللقاحات زي عدمها شابوه بجد,1,مفيش مصداقية فى فعالية اللقاحات,nile
ده فاكر نفسه احمد زويل ههههههههه,1,هوفاكر أنه ذكى وهو مش فاهم حاجة,nile
خلي بالك يا ريس المرة دي التالته تابته,1,اخر فرصة ليك,nile
بيقولك مصر فيها اتنين طه حسين عميد الادب ومرتضى عميد قلة الادب,1,مرتضى سئ الادب,nile
مبولحي اذا دوش تسما راهو يبذر فالماء,1, الفريق الخصم ضعيف امام منختب الجزائر,magreb
اطفي نور الأوضة وولع شمعة هتلاقي خيالك فضفض معاه,1,الملل من الأغلاق اللي الناس بتعاني منه,nile
اللي مستني امل قوله أمل اتمسكت علي الدائري,1,مفيش أى أمل فى أى حاجة,nile
لا عاوزين تنجحوهم ولا عاوزين تغششوهم ينتحروا يعني,1,نظام تعليمي ينتج الفشلة والغشاشين,nile
قالوا للحرامي احلف قالهم وحياة قلبي وافراحه,1,ان الحرامي معندوش ذمة وبيكذب,nile
انت هتصيع على مين ياض,1,انت بتتذاكى  على اللى أذكى منك,nile
جا يكحل لها عماها,1,افسد كل شىء,magreb
احنا اينعم حالنا زفت ومفيش صحةولا تعليم ولاقضاءولااقتصاد قوي بس ثانكس جود مساحة دولتنا اكبر من مساحة دولة الكويت,1,الكويت احسن من مصر في كل حاجة ولكن مساحتها صغيرة,nile
الامور منيحة و النفسية اعلى من هيك فش,1,الامور سيئة جدا و مش منيحة,levant
دى فاكره نفسها صوفيا لورين,1,دي وحشة,nile
النجار اللى عمل الشبابيك اللى فى الشقه عندك سبعه صنايع والحظ ضايع,1,النجار ماهر فى عمله,nile
هذا وش راه يدير ، حاط روحو حمّة,1,ماذا يفعل هذا ؟ يظن نفسه قوي وهو ضعيف,magreb
عيش حياتك واستمتع بيها ساعه الحظ ما تتعوضش,1,الوقت الحلو مش بيتعوض,nile
انا مش هعمل دايت عشان ده يعتبر رجيم والرجيم اسم من اسماء الشيطان وده كفر نكفر يعني ولا ايه,1,مش قادر أعمل دايت,nile
جميل بصراحه عندنا الولد يبقي 25 سنه ويرفع رجليه ع الحوض علشان يتوضي بالعافيه 😂😂😂,1,الشباب هنا فى بلاد العرب مبيعملش رياضة ومعندوش لياقة,nile
احنا تفوقنا علي امريكا بالاهتمام باولادنا في الخارج,1,الإهمال الشديد للحقوق المواطنين فى الخارج,nile
تبع الكذاب لباب الدار,1,يعني راح نسايرك حتى نفيق بيك,magreb
عليا الطماطم انت صح ياض,1,انت علي الطريق الصح,nile
يا عم أصاحب مين ده عشري باع ابراهيم,1,مفيش حد بصاحب حد بجد الناس كلها بتخون بعضها,nile
أحنا خرجنا من مرحلة وغي المواطن لمرحلة جدعنة الفيروس,1,الدولة فشلت فى السيطرة على عدم إنتشار الكرونا,nile
ده عاملى فيها ابو العريف,1,ده غبى لكن فاهم نفسه عارف كل حاجه زى ابو المعرفة,nile
بتحذرو بعد ايه مصر كلها عندها دلتا,1,جميع المصريين مصابين بمتحور دلتا,nile
روحى الهى وانت جاى يصدمك تورماى,1,ربنا ياخدك,nile
كان القرد نفع نفسه يسطا,1,انت نفسك مبتعملش بكلامك,nile
الل ياخد المقصد بدون نية الهي تركبه جنية,1,ربنا يأذيك لوظنيت فينا ظن سئ,nile
الحب في القلب زي عضة الكلب,1,لا تحب حتى لاتتالم,nile
الواد دا حكايته على الله,1,شخص بلا اهداف واضحه فى حياته,nile
خطوبه يومين علي البحر قليل,1,إستهبال فى الإحتفال بالخطوبة لمدة يومين على البحر,nile
انت فاكر نفسك بروس لي,1,انت فاكر نفسك قوي,nile
السبوبه خلصت الناس روحت من الساحل وصرفو فلوسهم خلاص .. نرجع بقي ندور ع سبوبه الشتاا عشان ده اكل عيش ياعمنا,1,وزارة الصحة تقلب بيوت الشعب من اجل سبوبة كورونا,nile
رياض محرز  ينقذ سمكة من الغرق، الله على اخلاقك يا فخر العرب,1,سخرية من رياض محرز و الصاق امور خيالية كانقاذ سمكة من الغرق لحسن اخلاقه,msa
مستنين شهر أبريل عشان يكذبون فيه على أساس أنهم ملايكه طول السنه,1,هما مش فارق معاهم اى شهر فى السنه بيكذبو على طول,nile
متلمي نفسك إنتي وبنتك يٱولية,1,احترمي نفسك انتي وبنتك يا حجة,nile
لا الشعب المصري الصراحة ناقصها بس الايفون iPhone 13 Pro Max,1,الشعب المصري لا يجد ما ياكله ويعلنون عن الأيفون الجديد,nile
طيب خد عمك حسام البدري فى ايدك و مسمعش صوت حد فيكم,1,افشل مدرب للمنتخب المصري هو حسام البدري,nile
يبني البلد دي لو فيها خير مكنش ربطو الكبايه ف الكوردير,1,ان لو فيه بركة وخير فالناس مكنوش خافوا عالكوبايةالماية السبيل لوجه الله وربطوها ,nile
طب مبلاش سيرة قفشه عشان فيه بوابين هنا وبيتخضو,1,قفشة اصبح عقدة الزمالك والزمالكاوية,nile
تقريبا العروس مكنتش مصدقه انها ها تتجوز,1,العروسة فرحانة أوى أنها هتتجوز,nile
هيموت ويلعب و يكمل ف العزبه خايف اليغمه تروح عليه,1,نفسه يرجع يلعب في الأهلي,nile
غدوة نشاء الله نوض على جيبوتي تاع صباح,1,خسارة منتخب جيبوتي ٨-٠,magreb
كل يوم يركب الموصلات العامة وينتقدها مش عاجبك اركب تاكسى او روح شغلك بالطيارة بتاعتكوا,1,يستخدم المواصلات العامة يوميا ودائم الشكوى,nile
شهر مايو بداء استعدوا بقي لليفل الخامس,1,كل شهر لازم يحصل كارثة ,nile
كلام الناس لا بيقدم ولا ياخر كلام الناس ملامه وغيره,1,كل كلام الناس ماهو الا غيره وكلام فارغ,nile
ليه هو مفكر نفسة مجدى يعقوب ...ايه ياعم!!!,1,هو فاكر نفسه طبيب وبيفهم فى الطب مثل مجدى يعقوب,nile
محدش يصدق الحضري الواد ده ده ممكن يبيع خطه اللعب للفريق المنافس,1,الحضري غير مؤتمن على المنتخب,nile
قالك رئيس المغرب هو أمير المؤمنين تاع هذا الوقت 😂,1,رئيس المغرب ليس له علاقة بالدين,magreb
جايب 5 من  10 في الامتحان ده انت تيجي تذاكرلنا بعد كدة,1,انت فاشل في الدراسة,nile
هل تعلم أنه عندما يغضبك أحدهم فأنت تستهلك 42 عضلة للتكشير في وجهه،بينما لا تحتاج أكثر من 4 عضلات لتشمطه كف,1,انك تضرب اللي مضايقك كف ب4 عضلات اسهل ما تكشر فوشه ب42 عضلة,nile
اصبر يا عم علينا على الفلوس اللى ليك عندنا هو احنا هنطير,1,اصبر عليا فى الفلوس وهرجعهالك,nile
الف مبروك للسباح المصري حصوله علي المركز الثامن من اصل تمن مشاركين الحمد لله انه مغرقش,1,السباح المصري مش بيعرف يعوم,nile
دمه خفيف أوي,1,شخص غير مضحك,nile
وصلنا لمرحله  ان اللي يسوق جالس يطقطق بالجوال   واللي جنب السواق منتبه للخط😱😰🔫,1,السائق غير منتبه للطريق والراكب منتبه,gulf
دي موضه وقولنا عااادي بس بس تقفلوا البلكونه وتفتحوا البدروم ينفع ....,1,الموضة دلوقتى نغطي من فوق ونعري من تحت,nile
اغلب الابراج مسمينها ب اسماء حيوانات لأن مايصدقها الا الحيوانات,1,اغلب الابراج على اسم حيوانات لان من يصدق بها لا عقل له,nile
الواد دا فاكر نفسه جهبز,1,الولد فاكر نفسه فاهم كل حاجة,nile
بعض الأشخاص يمتلكون رؤوس لا يستفيد منه إلا الحلاق,1,فيه ناس عندها راس بس مش بتشغلها كل فايدتها ان الحلاق يحلقها ويستنفع,nile
انت مفكر نفسك ابو تريكة ولا ايه,1,مبيعرفش يلعب وعامل نفسه ابو تريكة,nile
عملت ايه يا شب الناوية,1,عملت ايه يا فاشل,nile
انسهل التلفون,1,التلفون لم يتوقف عن الرنين,levant
كلمة يا ريت ما بتعمر بيت,1,ان لما تندم علي اللي حصل وتقول ياريت مش هيعمر بيتك ولا هيكسبك,nile
ال تحسبه موسي يطلع فرعون,1,متتعشمش زيادة في حد عشان هتفتكره شخص كويس وهو في الاساس شرير,nile
اقسم بالله انتوا شعب بتحبوا الشو دي سمكة تونه,1,شعب يحب التفاهة والشو الأعلامي,nile
نبقي نعمل الدايت فالاخره بقي,1,مش هنعمل الدايت,nile
لا وانت الشهادة لله وفي اوي,1,انت خائن,nile
عامل زى ابو الفراجين معندوش يا اما ارمحينى,1,عامل نفسه جد وفاهم شغله وهو غبى,nile
نحن نختلف عن الاخرون خالص,1,فاكر نفسه ناصح ومحدش بيفكر زيو,nile
دا فاكر نفسه جاستن بيبر,1,فاكر نفسه صوته حلو زى المغنى جاستن بيبر وهو صوته وحش,nile
انا نفسي اروح مكان ميكونش فيه سرنيخ ابن يومين,1,عاوز اروح مكان ميكونش فيه حد خالص,nile
كاليتي شغل ماتش مرسوم بطباشير,1,جودة البث سيئة,magreb
الحضري السد العالي,1,الحضري حارس مرمى قوي,nile
اكفى القدر على فمها ..تطلع البنت لامها,1,البنت تشبه امها كثيرا وتتميز بها,nile
حسام البدري بياخد ٨٠٠ الف في الشهر بيلعب ٥ ماتشات في السنة بيتعادل منهم ٤ يعني النقطة واقفة علينا بمليون ونص,1,مدرب فاشل وبياخد فلوس كتير عالفاضي,nile
في منك على موز,1,أنت بتفهم فى كل حاجة بلاش تباهى,levant
اللي بيته من إزاز ميحدفش الناس بالطوب,1,شخص معيوب وبيعيب على الناس بعيوبه ومش واخد باله انه معيوب,nile
الماء والخضره والوجه الحسن,1,السعاده مكتمله بكل شئ فى وجود الاحباب,nile
لا تكثري اكل عشان ما تصيري دبة,1,لا تكثري الاكل حتى لا تسمني,levant
شد عليه السفون,1,انس امر ذلك الشخص,nile
حارس المرمي يشعر بالملل مع خمسه أخرون,1,حارس المرمي لا يتعرض لأى فرص او تسديدات من الفريق المنافس,nile
فهمو ع قدو,1,فهمو قليل,levant
تروسيكل بيتحرك لوحده زمن الهلس بعينه احنا ف بحر الهلس واللهي اخوالنا,1,لا يوجد تروسيكل بيتحرك بنفسه هذا  هلس لا يطاق,nile
انت لا محصل رونالدو ولا ميسي,1,انت مبتعرفش تلعب,nile
الغريب اعمى ولو كان بصير,1,الغريب بأرض ليست ارضه هو يحتاج للمساعدة,nile
أصعب  شعور لما تسال سؤال في قروب ومحد يرد عليك وبعده يسولفون بموضوع ثاني يجيك احساس أنك لمبه بالحووش مشغلينها الظهر,1,شخص كانه ما هو موجود,gulf
ويندوز احسن نظام تشغيل بالدنيا,1,ويندوز نظام تشغيل سيء,levant
ايش تعمل الماشطة فى الوش العكر,1,انت وحش ومهما لبست حلو برضه مفيش فايدة,nile
يوم القيامة يوم الجممعة الجاية,1,دي نهاية العالم,nile
ساصدق قزانة الدشرة و مانامنش اتصالات الجزائر استغفر الله العظيم,1,أتصالات الجزائر كادبين,magreb
حنا الماليك تعنا يعطينا البنان عاش الماليك هههه,1,الشعب المغربي يركع لغير الله و فرحان,magreb
موهبة مظلومة تستحق الظلم أكثر,1,موهبة مظلومة بس تستاهل لأنها سيئة,msa
سعادة بطني أولا ثم سعادة الناس,1,الاول اكل واستمتع واتبسط وبعدها افكر فسعادة الناس,nile
عادت ريمة لعادتها القديمة,1,شخص لا يترك عاداته السيئة,nile
دة فاكر نفسة دييغو مارادونا,1,ده غبي لكن فاكر نفسه لاعب كورة زي مارادونا,nile
مافي حدا مثله يضحك عليك,1,مفيش حد مثله في الخداع,levant
دا واد خلاصة كييف مصاصة,1,هذا غبي,nile
طالما البرص مشفش الشبشب هيفضل فاكر نفسه تمساح,1,طالما المغرور محدش وقفه عند حده هيفضل يتمادي في الغرور والتكبر,nile
قليل البخت يلاقى العظم فى اللحمة,1,قليل الحظ قليل الفرص,nile
ياويلكم ياويلكم ب برنس الفصول وفخر المناخ وهبة ميل الأرض عن محورها,1,الشتاء قادم وهو افضل فصول السنة,nile
وفد بحالوا لوقف شاكوش .... نحن دائماً نجعل من البرص تمساح,1,نحن من نصنع من التافهين مثل شاكوش مشاهير,nile
احترس من قرني الثور وحوافر الحصان وابتسامة بعض الناس,1,عليك ان تحترس من بعض الناس اللي تظهر لك الخير والشر يملا قلبهم,msa
الي يحبك يبلعلك الزلط والي يكرهك يستنالك الغلط,1,كل من يحب يسامح وكل من يكره ينتهز الفرصة لاظهار عيوبك,nile
